instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,recency,frequency,monetary
31,2011-01-31,springer,2011,January,non holiday,monday,working day,"Mist, Cloudy",0.180833,0.18625,0.60375,0.187192,42,1459,1501,700,1,2189959
32,2011-02-01,springer,2011,February,non holiday,tuesday,working day,"Mist, Cloudy",0.192174,0.23453,0.829565,0.053213,47,1313,1360,699,1,1785680
33,2011-02-02,springer,2011,February,non holiday,wednesday,working day,"Mist, Cloudy",0.26,0.254417,0.775417,0.264308,72,1454,1526,698,1,2218804
34,2011-02-03,springer,2011,February,non holiday,thursday,working day,"Clear, Partly cloudy",0.186957,0.177878,0.437826,0.277752,61,1489,1550,697,1,2307950
35,2011-02-04,springer,2011,February,non holiday,friday,working day,"Mist, Cloudy",0.211304,0.228587,0.585217,0.127839,88,1620,1708,696,1,2766960
36,2011-02-05,springer,2011,February,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.233333,0.243058,0.929167,0.161079,100,905,1005,695,1,909525
37,2011-02-06,springer,2011,February,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.285833,0.291671,0.568333,0.1418,354,1269,1623,694,1,2059587
38,2011-02-07,springer,2011,February,non holiday,monday,working day,"Clear, Partly cloudy",0.271667,0.303658,0.738333,0.0454083,120,1592,1712,693,1,2725504
39,2011-02-08,springer,2011,February,non holiday,tuesday,working day,"Clear, Partly cloudy",0.220833,0.198246,0.537917,0.36195,64,1466,1530,692,1,2242980
40,2011-02-09,springer,2011,February,non holiday,wednesday,working day,"Mist, Cloudy",0.134783,0.144283,0.494783,0.188839,53,1552,1605,691,1,2490960
41,2011-02-10,springer,2011,February,non holiday,thursday,working day,"Clear, Partly cloudy",0.144348,0.149548,0.437391,0.221935,47,1491,1538,690,1,2293158
42,2011-02-11,springer,2011,February,non holiday,friday,working day,"Clear, Partly cloudy",0.189091,0.213509,0.506364,0.10855,149,1597,1746,689,1,2788362
43,2011-02-12,springer,2011,February,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.2225,0.232954,0.544167,0.203367,288,1184,1472,688,1,1742848
44,2011-02-13,springer,2011,February,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.316522,0.324113,0.457391,0.260883,397,1192,1589,687,1,1894088
45,2011-02-14,springer,2011,February,non holiday,monday,working day,"Clear, Partly cloudy",0.415,0.39835,0.375833,0.417908,208,1705,1913,686,1,3261665
46,2011-02-15,springer,2011,February,non holiday,tuesday,working day,"Clear, Partly cloudy",0.266087,0.254274,0.314348,0.291374,140,1675,1815,685,1,3040125
47,2011-02-16,springer,2011,February,non holiday,wednesday,working day,"Clear, Partly cloudy",0.318261,0.3162,0.423478,0.251791,218,1897,2115,684,1,4012155
48,2011-02-17,springer,2011,February,non holiday,thursday,working day,"Clear, Partly cloudy",0.435833,0.428658,0.505,0.230104,259,2216,2475,683,1,5484600
49,2011-02-18,springer,2011,February,non holiday,friday,working day,"Clear, Partly cloudy",0.521667,0.511983,0.516667,0.264925,579,2348,2927,682,1,6872596
50,2011-02-19,springer,2011,February,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.399167,0.391404,0.187917,0.507463,532,1103,1635,681,1,1803405
51,2011-02-20,springer,2011,February,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.285217,0.27733,0.407826,0.223235,639,1173,1812,680,1,2125476
52,2011-02-21,springer,2011,February,holiday,monday,weekend/holiday,"Mist, Cloudy",0.303333,0.284075,0.605,0.307846,195,912,1107,679,1,1009584
53,2011-02-22,springer,2011,February,non holiday,tuesday,working day,"Clear, Partly cloudy",0.182222,0.186033,0.577778,0.195683,74,1376,1450,678,1,1995200
54,2011-02-23,springer,2011,February,non holiday,wednesday,working day,"Clear, Partly cloudy",0.221739,0.245717,0.423043,0.094113,139,1778,1917,677,1,3408426
55,2011-02-24,springer,2011,February,non holiday,thursday,working day,"Mist, Cloudy",0.295652,0.289191,0.697391,0.250496,100,1707,1807,676,1,3084549
56,2011-02-25,springer,2011,February,non holiday,friday,working day,"Mist, Cloudy",0.364348,0.350461,0.712174,0.346539,120,1341,1461,675,1,1959201
57,2011-02-26,springer,2011,February,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.2825,0.282192,0.537917,0.186571,424,1545,1969,674,1,3042105
58,2011-02-27,springer,2011,February,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.343478,0.351109,0.68,0.125248,694,1708,2402,673,1,4102616
59,2011-02-28,springer,2011,February,non holiday,monday,working day,"Mist, Cloudy",0.407273,0.400118,0.876364,0.289686,81,1365,1446,672,1,1973790
60,2011-03-01,springer,2011,March,non holiday,tuesday,working day,"Clear, Partly cloudy",0.266667,0.263879,0.535,0.216425,137,1714,1851,671,1,3172614
61,2011-03-02,springer,2011,March,non holiday,wednesday,working day,"Clear, Partly cloudy",0.335,0.320071,0.449583,0.307833,231,1903,2134,670,1,4061002
62,2011-03-03,springer,2011,March,non holiday,thursday,working day,"Clear, Partly cloudy",0.198333,0.200133,0.318333,0.225754,123,1562,1685,669,2,2631970
63,2011-03-04,springer,2011,March,non holiday,friday,working day,"Mist, Cloudy",0.261667,0.255679,0.610417,0.203346,214,1730,1944,668,1,3363120
64,2011-03-05,springer,2011,March,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.384167,0.378779,0.789167,0.251871,640,1437,2077,667,2,2984649
65,2011-03-06,springer,2011,March,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.376522,0.366252,0.948261,0.343287,114,491,605,666,1,297055
66,2011-03-07,springer,2011,March,non holiday,monday,working day,"Clear, Partly cloudy",0.261739,0.238461,0.551304,0.341352,244,1628,1872,665,1,3047616
67,2011-03-08,springer,2011,March,non holiday,tuesday,working day,"Clear, Partly cloudy",0.2925,0.3024,0.420833,0.12065,316,1817,2133,664,1,3875661
68,2011-03-09,springer,2011,March,non holiday,wednesday,working day,"Mist, Cloudy",0.295833,0.286608,0.775417,0.22015,191,1700,1891,663,1,3214700
69,2011-03-10,springer,2011,March,non holiday,thursday,working day,"Light Snow, Light Rain",0.389091,0.385668,0.0,0.261877,46,577,623,662,1,359471
70,2011-03-11,springer,2011,March,non holiday,friday,working day,"Mist, Cloudy",0.316522,0.305,0.649565,0.23297,247,1730,1977,661,2,3420210
71,2011-03-12,springer,2011,March,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.329167,0.32575,0.594583,0.220775,724,1408,2132,660,1,3001856
72,2011-03-13,springer,2011,March,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.384348,0.380091,0.527391,0.270604,982,1435,2417,659,1,3468395
73,2011-03-14,springer,2011,March,non holiday,monday,working day,"Clear, Partly cloudy",0.325217,0.332,0.496957,0.136926,359,1687,2046,658,1,3451602
74,2011-03-15,springer,2011,March,non holiday,tuesday,working day,"Mist, Cloudy",0.317391,0.318178,0.655652,0.184309,289,1767,2056,657,1,3632952
75,2011-03-16,springer,2011,March,non holiday,wednesday,working day,"Mist, Cloudy",0.365217,0.36693,0.776522,0.203117,321,1871,2192,656,1,4101232
76,2011-03-17,springer,2011,March,non holiday,thursday,working day,"Clear, Partly cloudy",0.415,0.410333,0.602917,0.209579,424,2320,2744,655,1,6366080
77,2011-03-18,springer,2011,March,non holiday,friday,working day,"Clear, Partly cloudy",0.54,0.527009,0.525217,0.231017,884,2355,3239,654,1,7627845
78,2011-03-19,springer,2011,March,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.4725,0.466525,0.379167,0.368167,1424,1693,3117,653,1,5277081
79,2011-03-20,springer,2011,March,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.3325,0.32575,0.47375,0.207721,1047,1424,2471,652,1,3518704
80,2011-03-21,summer,2011,March,non holiday,monday,working day,"Mist, Cloudy",0.430435,0.409735,0.737391,0.288783,401,1676,2077,651,2,3481052
81,2011-03-22,summer,2011,March,non holiday,tuesday,working day,"Clear, Partly cloudy",0.441667,0.440642,0.624583,0.22575,460,2243,2703,650,1,6062829
82,2011-03-23,summer,2011,March,non holiday,wednesday,working day,"Mist, Cloudy",0.346957,0.337939,0.839565,0.234261,203,1918,2121,649,1,4068078
83,2011-03-24,summer,2011,March,non holiday,thursday,working day,"Mist, Cloudy",0.285,0.270833,0.805833,0.243787,166,1699,1865,648,1,3168635
84,2011-03-25,summer,2011,March,non holiday,friday,working day,"Clear, Partly cloudy",0.264167,0.256312,0.495,0.230725,300,1910,2210,647,1,4221100
85,2011-03-26,summer,2011,March,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.265833,0.257571,0.394167,0.209571,981,1515,2496,646,1,3781440
86,2011-03-27,summer,2011,March,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.253043,0.250339,0.493913,0.1843,472,1221,1693,645,1,2067153
87,2011-03-28,summer,2011,March,non holiday,monday,working day,"Clear, Partly cloudy",0.264348,0.257574,0.302174,0.212204,222,1806,2028,644,1,3662568
88,2011-03-29,summer,2011,March,non holiday,tuesday,working day,"Clear, Partly cloudy",0.3025,0.292908,0.314167,0.226996,317,2108,2425,643,2,5111900
89,2011-03-30,summer,2011,March,non holiday,wednesday,working day,"Mist, Cloudy",0.3,0.29735,0.646667,0.172888,168,1368,1536,642,1,2101248
90,2011-03-31,summer,2011,March,non holiday,thursday,working day,"Light Snow, Light Rain",0.268333,0.257575,0.918333,0.217646,179,1506,1685,641,2,2537610
91,2011-04-01,summer,2011,April,non holiday,friday,working day,"Mist, Cloudy",0.3,0.283454,0.68625,0.258708,307,1920,2227,640,1,4275840
92,2011-04-02,summer,2011,April,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.315,0.315637,0.65375,0.197146,898,1354,2252,639,1,3049208
93,2011-04-03,summer,2011,April,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.378333,0.378767,0.48,0.182213,1651,1598,3249,638,1,5191902
94,2011-04-04,summer,2011,April,non holiday,monday,working day,"Clear, Partly cloudy",0.573333,0.542929,0.42625,0.385571,734,2381,3115,637,1,7416815
95,2011-04-05,summer,2011,April,non holiday,tuesday,working day,"Mist, Cloudy",0.414167,0.39835,0.642083,0.388067,167,1628,1795,636,1,2922260
96,2011-04-06,summer,2011,April,non holiday,wednesday,working day,"Clear, Partly cloudy",0.390833,0.387608,0.470833,0.263063,413,2395,2808,635,1,6725160
97,2011-04-07,summer,2011,April,non holiday,thursday,working day,"Clear, Partly cloudy",0.4375,0.433696,0.602917,0.162312,571,2570,3141,634,1,8072370
98,2011-04-08,summer,2011,April,non holiday,friday,working day,"Mist, Cloudy",0.335833,0.324479,0.83625,0.226992,172,1299,1471,633,1,1910829
99,2011-04-09,summer,2011,April,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.3425,0.341529,0.8775,0.133083,879,1576,2455,632,1,3869080
100,2011-04-10,summer,2011,April,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.426667,0.426737,0.8575,0.146767,1188,1707,2895,631,1,4941765
101,2011-04-11,summer,2011,April,non holiday,monday,working day,"Mist, Cloudy",0.595652,0.565217,0.716956,0.324474,855,2493,3348,630,1,8346564
102,2011-04-12,summer,2011,April,non holiday,tuesday,working day,"Mist, Cloudy",0.5025,0.493054,0.739167,0.274879,257,1777,2034,629,1,3614418
103,2011-04-13,summer,2011,April,non holiday,wednesday,working day,"Mist, Cloudy",0.4125,0.417283,0.819167,0.250617,209,1953,2162,628,1,4222386
104,2011-04-14,summer,2011,April,non holiday,thursday,working day,"Clear, Partly cloudy",0.4675,0.462742,0.540417,0.1107,529,2738,3267,627,1,8945046
105,2011-04-15,summer,2011,April,holiday,friday,weekend/holiday,"Clear, Partly cloudy",0.446667,0.441913,0.67125,0.226375,642,2484,3126,626,1,7764984
106,2011-04-16,summer,2011,April,non holiday,saturday,weekend/holiday,"Light Snow, Light Rain",0.430833,0.425492,0.888333,0.340808,121,674,795,625,1,535830
107,2011-04-17,summer,2011,April,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.456667,0.445696,0.479583,0.303496,1558,2186,3744,624,1,8184384
108,2011-04-18,summer,2011,April,non holiday,monday,working day,"Clear, Partly cloudy",0.5125,0.503146,0.5425,0.163567,669,2760,3429,623,1,9464040
109,2011-04-19,summer,2011,April,non holiday,tuesday,working day,"Mist, Cloudy",0.505833,0.489258,0.665833,0.157971,409,2795,3204,622,1,8955180
110,2011-04-20,summer,2011,April,non holiday,wednesday,working day,"Clear, Partly cloudy",0.595,0.564392,0.614167,0.241925,613,3331,3944,621,1,13137464
111,2011-04-21,summer,2011,April,non holiday,thursday,working day,"Clear, Partly cloudy",0.459167,0.453892,0.407083,0.325258,745,3444,4189,620,1,14426916
112,2011-04-22,summer,2011,April,non holiday,friday,working day,"Mist, Cloudy",0.336667,0.321954,0.729583,0.219521,177,1506,1683,619,1,2534598
113,2011-04-23,summer,2011,April,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.46,0.450121,0.887917,0.230725,1462,2574,4036,618,1,10388664
114,2011-04-24,summer,2011,April,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.581667,0.551763,0.810833,0.192175,1710,2481,4191,617,1,10397871
115,2011-04-25,summer,2011,April,non holiday,monday,working day,"Clear, Partly cloudy",0.606667,0.5745,0.776667,0.185333,773,3300,4073,616,2,13440900
116,2011-04-26,summer,2011,April,non holiday,tuesday,working day,"Clear, Partly cloudy",0.631667,0.594083,0.729167,0.3265,678,3722,4400,615,1,16376800
117,2011-04-27,summer,2011,April,non holiday,wednesday,working day,"Mist, Cloudy",0.62,0.575142,0.835417,0.3122,547,3325,3872,614,1,12874400
118,2011-04-28,summer,2011,April,non holiday,thursday,working day,"Mist, Cloudy",0.6175,0.578929,0.700833,0.320908,569,3489,4058,613,1,14158362
119,2011-04-29,summer,2011,April,non holiday,friday,working day,"Clear, Partly cloudy",0.51,0.497463,0.457083,0.240063,878,3717,4595,612,1,17079615
120,2011-04-30,summer,2011,April,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.4725,0.464021,0.503333,0.235075,1965,3347,5312,611,2,17779264
121,2011-05-01,summer,2011,May,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.451667,0.448204,0.762083,0.106354,1138,2213,3351,610,2,7415763
122,2011-05-02,summer,2011,May,non holiday,monday,working day,"Mist, Cloudy",0.549167,0.532833,0.73,0.183454,847,3554,4401,609,2,15641154
123,2011-05-03,summer,2011,May,non holiday,tuesday,working day,"Mist, Cloudy",0.616667,0.582079,0.697083,0.342667,603,3848,4451,608,1,17127448
124,2011-05-04,summer,2011,May,non holiday,wednesday,working day,"Mist, Cloudy",0.414167,0.40465,0.737083,0.328996,255,2378,2633,607,1,6261274
125,2011-05-05,summer,2011,May,non holiday,thursday,working day,"Clear, Partly cloudy",0.459167,0.441917,0.444167,0.295392,614,3819,4433,606,1,16929627
126,2011-05-06,summer,2011,May,non holiday,friday,working day,"Clear, Partly cloudy",0.479167,0.474117,0.59,0.228246,894,3714,4608,605,1,17114112
127,2011-05-07,summer,2011,May,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.52,0.512621,0.54125,0.16045,1612,3102,4714,604,1,14622828
128,2011-05-08,summer,2011,May,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,603,1,12704356
129,2011-05-09,summer,2011,May,non holiday,monday,working day,"Clear, Partly cloudy",0.5325,0.525246,0.58875,0.176,664,3698,4362,602,1,16130676
130,2011-05-10,summer,2011,May,non holiday,tuesday,working day,"Clear, Partly cloudy",0.5325,0.522721,0.489167,0.115671,694,4109,4803,601,1,19735527
131,2011-05-11,summer,2011,May,non holiday,wednesday,working day,"Clear, Partly cloudy",0.5425,0.5284,0.632917,0.120642,550,3632,4182,600,1,15189024
132,2011-05-12,summer,2011,May,non holiday,thursday,working day,"Clear, Partly cloudy",0.535,0.523363,0.7475,0.189667,695,4169,4864,599,1,20278016
133,2011-05-13,summer,2011,May,non holiday,friday,working day,"Mist, Cloudy",0.5125,0.4943,0.863333,0.179725,692,3413,4105,598,1,14010365
134,2011-05-14,summer,2011,May,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.520833,0.500629,0.9225,0.13495,902,2507,3409,597,1,8546363
135,2011-05-15,summer,2011,May,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.5625,0.536,0.867083,0.152979,1582,2971,4553,596,1,13526963
136,2011-05-16,summer,2011,May,non holiday,monday,working day,"Clear, Partly cloudy",0.5775,0.550512,0.787917,0.126871,773,3185,3958,595,1,12606230
137,2011-05-17,summer,2011,May,non holiday,tuesday,working day,"Mist, Cloudy",0.561667,0.538529,0.837917,0.277354,678,3445,4123,594,1,14203735
138,2011-05-18,summer,2011,May,non holiday,wednesday,working day,"Mist, Cloudy",0.55,0.527158,0.87,0.201492,536,3319,3855,593,1,12794745
139,2011-05-19,summer,2011,May,non holiday,thursday,working day,"Mist, Cloudy",0.530833,0.510742,0.829583,0.108213,735,3840,4575,592,1,17568000
140,2011-05-20,summer,2011,May,non holiday,friday,working day,"Clear, Partly cloudy",0.536667,0.529042,0.719583,0.125013,909,4008,4917,591,1,19707336
141,2011-05-21,summer,2011,May,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.6025,0.571975,0.626667,0.12065,2258,3547,5805,590,1,20590335
142,2011-05-22,summer,2011,May,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.604167,0.5745,0.749583,0.148008,1576,3084,4660,589,1,14371440
143,2011-05-23,summer,2011,May,non holiday,monday,working day,"Mist, Cloudy",0.631667,0.590296,0.81,0.233842,836,3438,4274,588,2,14694012
144,2011-05-24,summer,2011,May,non holiday,tuesday,working day,"Mist, Cloudy",0.66,0.604813,0.740833,0.207092,659,3833,4492,587,1,17217836
145,2011-05-25,summer,2011,May,non holiday,wednesday,working day,"Clear, Partly cloudy",0.660833,0.615542,0.69625,0.154233,740,4238,4978,586,1,21096764
146,2011-05-26,summer,2011,May,non holiday,thursday,working day,"Clear, Partly cloudy",0.708333,0.654688,0.6775,0.199642,758,3919,4677,585,1,18329163
147,2011-05-27,summer,2011,May,non holiday,friday,working day,"Clear, Partly cloudy",0.681667,0.637008,0.65375,0.240679,871,3808,4679,584,1,17817632
148,2011-05-28,summer,2011,May,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.655833,0.612379,0.729583,0.230092,2001,2757,4758,583,2,13117806
149,2011-05-29,summer,2011,May,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.6675,0.61555,0.81875,0.213938,2355,2433,4788,582,1,11649204
150,2011-05-30,summer,2011,May,holiday,monday,weekend/holiday,"Clear, Partly cloudy",0.733333,0.671092,0.685,0.131225,1549,2549,4098,581,2,10445802
151,2011-05-31,summer,2011,May,non holiday,tuesday,working day,"Clear, Partly cloudy",0.775,0.725383,0.636667,0.111329,673,3309,3982,580,1,13176438
152,2011-06-01,summer,2011,June,non holiday,wednesday,working day,"Mist, Cloudy",0.764167,0.720967,0.677083,0.207092,513,3461,3974,579,2,13754014
153,2011-06-02,summer,2011,June,non holiday,thursday,working day,"Clear, Partly cloudy",0.715,0.643942,0.305,0.292287,736,4232,4968,578,1,21024576
154,2011-06-03,summer,2011,June,non holiday,friday,working day,"Clear, Partly cloudy",0.62,0.587133,0.354167,0.253121,898,4414,5312,577,2,23447168
155,2011-06-04,summer,2011,June,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.635,0.594696,0.45625,0.123142,1869,3473,5342,576,1,18552766
156,2011-06-05,summer,2011,June,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.648333,0.616804,0.6525,0.138692,1685,3221,4906,575,1,15802226
157,2011-06-06,summer,2011,June,non holiday,monday,working day,"Clear, Partly cloudy",0.678333,0.621858,0.6,0.121896,673,3875,4548,574,1,17623500
158,2011-06-07,summer,2011,June,non holiday,tuesday,working day,"Clear, Partly cloudy",0.7075,0.65595,0.597917,0.187808,763,4070,4833,573,1,19670310
159,2011-06-08,summer,2011,June,non holiday,wednesday,working day,"Clear, Partly cloudy",0.775833,0.727279,0.622083,0.136817,676,3725,4401,572,2,16393725
160,2011-06-09,summer,2011,June,non holiday,thursday,working day,"Mist, Cloudy",0.808333,0.757579,0.568333,0.149883,563,3352,3915,571,1,13123080
161,2011-06-10,summer,2011,June,non holiday,friday,working day,"Clear, Partly cloudy",0.755,0.703292,0.605,0.140554,815,3771,4586,570,1,17293806
162,2011-06-11,summer,2011,June,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.725,0.678038,0.654583,0.15485,1729,3237,4966,569,1,16074942
163,2011-06-12,summer,2011,June,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.6925,0.643325,0.747917,0.163567,1467,2993,4460,568,1,13348780
164,2011-06-13,summer,2011,June,non holiday,monday,working day,"Clear, Partly cloudy",0.635,0.601654,0.494583,0.30535,863,4157,5020,567,1,20868140
165,2011-06-14,summer,2011,June,non holiday,tuesday,working day,"Clear, Partly cloudy",0.604167,0.591546,0.507083,0.269283,727,4164,4891,566,1,20366124
166,2011-06-15,summer,2011,June,non holiday,wednesday,working day,"Clear, Partly cloudy",0.626667,0.587754,0.471667,0.167912,769,4411,5180,565,1,22848980
167,2011-06-16,summer,2011,June,non holiday,thursday,working day,"Mist, Cloudy",0.628333,0.595346,0.688333,0.206471,545,3222,3767,564,1,12137274
168,2011-06-17,summer,2011,June,non holiday,friday,working day,"Clear, Partly cloudy",0.649167,0.600383,0.735833,0.143029,863,3981,4844,563,1,19283964
169,2011-06-18,summer,2011,June,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.696667,0.643954,0.670417,0.119408,1807,3312,5119,562,2,16954128
170,2011-06-19,summer,2011,June,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.699167,0.645846,0.666667,0.102,1639,3105,4744,561,1,14730120
171,2011-06-20,summer,2011,June,non holiday,monday,working day,"Mist, Cloudy",0.635,0.595346,0.74625,0.155475,699,3311,4010,560,1,13277110
172,2011-06-21,fall,2011,June,non holiday,tuesday,working day,"Mist, Cloudy",0.680833,0.637646,0.770417,0.171025,774,4061,4835,559,1,19634935
173,2011-06-22,fall,2011,June,non holiday,wednesday,working day,"Clear, Partly cloudy",0.733333,0.693829,0.7075,0.172262,661,3846,4507,558,1,17333922
174,2011-06-23,fall,2011,June,non holiday,thursday,working day,"Mist, Cloudy",0.728333,0.693833,0.703333,0.238804,746,4044,4790,557,1,19370760
175,2011-06-24,fall,2011,June,non holiday,friday,working day,"Clear, Partly cloudy",0.724167,0.656583,0.573333,0.222025,969,4022,4991,556,1,20073802
176,2011-06-25,fall,2011,June,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.695,0.643313,0.483333,0.209571,1782,3420,5202,555,2,17790840
